index,name,latitude,longitude,牛排,日式料理,義式料理,中式料理,咖啡廳,燒烤
0,燒肉同話 竹北光明店,24.830397,121.01490289999992,0,1,0,0,0,1
1,老乾杯-新竹喜來登店,24.8202402,121.02778149999995,0,1,0,0,0,1
2,邀月鐵板燒(新竹豐邑喜來登大飯店),24.8206744,121.02795029999993,0,1,0,0,0,0
3,迎月庭日式料理 - 新竹喜來登大飯店,24.8202815,121.02791909999996,0,1,0,0,0,0
4,博多一幸舍,24.7851797,121.02001189999999,0,1,0,0,0,0
5,吽Home炭火燒肉,24.8310344,121.01217580000002,0,1,0,0,0,1
6,家竹亭 新埔,24.807168,120.971585,0,1,0,0,0,0
7,八庵壽司割烹,24.81896,121.02583400000003,0,1,0,0,0,0
8,桃太郎日式炭火燒肉,24.8207329,121.02238409999995,0,1,0,0,0,0
9,大七割烹壽司,24.8183221,121.01834580000002,0,1,0,0,0,0
10,家竹亭,24.807168,120.971585,0,1,0,0,0,0
11,紐約.新和食-壽司窩,24.8150715,121.02175620000003,0,1,0,0,0,0
12,酒肴日式料理酒屋（竹北店）,24.8297344,121.01824429999999,0,1,0,1,0,1
13,大觀美饌鐵板燒 寶山,24.7667334,120.99870299999998,0,1,0,1,0,0
14,江屋日本料理,24.8201236,121.02211869999996,0,1,0,0,0,0
15,大滿足食堂拉麵‧定食,24.8317204,121.01358770000002,0,1,0,0,0,0
16,邑之棧火鍋壽司,24.818801,121.02927399999999,0,1,0,1,0,0
17,芽米的鍋物,24.8120622,121.02509789999999,0,1,0,0,0,0
18,石頭日式燒肉 竹北尊榮館,24.8317802,121.00991590000001,0,1,0,0,0,0
19,元手壽司 - 竹北莊敬南店,24.8169012,121.02049850000003,0,1,0,0,0,0
20,御食堂,24.831289,121.01446199999998,0,1,0,0,0,0
21,漁市大眾食堂(竹北店),24.830263,121.01603799999998,0,1,0,0,0,0
22,涼太拉麵,24.8131425,121.02145150000001,0,1,0,0,0,1
23,藝之趣客家懷石,24.8601326,120.94959310000002,0,1,0,0,0,0
24,松賀日式丼飯,24.827925,121.00974999999994,0,1,0,0,0,0
25,一風堂竹北店,24.8299088,121.0178737,0,1,0,0,0,0
26,六角工房,24.714507,120.92125599999997,0,1,0,0,0,0
27,八庵和風食堂,24.8192039,121.02630469999997,0,1,0,0,0,0
28,十六區壽司,24.797274,120.9965588,0,1,0,0,0,0
29,奧里安達魯咖哩,24.8244837,121.01469010000005,0,1,0,0,0,0
30,櫻日式精緻燒肉屋,24.8253661,121.00892380000005,0,1,0,0,0,0
31,淺草町風味食堂,24.8325831,121.01573380000002,0,1,0,0,0,0
32,佳禾《炭 料亭》 寶山,24.764654,120.98721799999998,0,1,1,0,1,0
33,伊蕎屋,24.832692,121.01214249999998,0,1,0,0,0,0
34,口福日本海鮮 竹東,24.736417,121.08843950000005,0,1,0,0,0,0
35,三月日式涮涮鍋,24.8302654,121.01620760000003,0,1,0,0,0,0
36,陶品日式炸豬排,24.8302953,121.0083138,0,1,0,0,0,0
37,元手壽司 - 竹北光明店,24.8169012,121.02049850000003,0,1,0,0,0,0
38,御福町日式丼 新豐,24.8667624,120.99011229999996,0,1,0,0,0,0
39,史坦利美式牛排,24.809099,120.97548000000006,1,0,0,0,0,0
40,鬥牛士牛排館,24.8094861,120.97472100000005,1,0,0,0,0,0
41,八方燴西餐廳 - 新竹國賓大,24.8064019,120.97826600000008,1,0,0,0,1,0
42,米蘭精緻鐵板燒,24.808995,120.96985999999993,1,0,0,0,0,0
43,American Steakhouse 竹北店,24.822139,121.02432959999999,1,0,0,0,0,0
44,哈特牛排,24.8187909,121.02140350000002,1,0,0,0,0,0
45,生鐵餐廳,24.8171913,120.95824919999995,1,0,0,0,0,0
46,岩燒石板牛排義大利麵,24.808834,120.97495900000001,1,0,0,0,0,0
47,香港大來燒臘店,24.7986714,120.97163160000002,1,0,0,0,0,0
48,紅町牛排館,24.7906473,121.00878379999995,1,0,0,0,0,0
49,牛蓬牛排,24.7859994,121.0103517,1,0,0,0,0,0
50,明爐燒臘館,24.799832,120.99020199999995,1,0,0,0,0,0
51,中山日本料理 - 新竹老爺大酒店,24.7818818,121.02068459999998,0,1,0,0,0,0
52,老爺鐵板燒,24.7818819,121.02068459999998,0,1,0,0,0,0
53,米蘭精緻鐵板燒,24.808995,120.96985999999993,0,1,0,0,0,0
54,福大將日式炸豬排,24.8050557,120.96994480000001,0,1,0,0,0,0
55,浪漫日式料理,24.8083205,120.9727057,0,1,0,0,0,0
56,江之戶日本料理,24.7982191,120.99710930000003,0,1,0,0,0,0
57,讚岐烏龍麵(新竹關新店),24.785263,121.01892099999998,0,1,0,0,0,0
58,銀座杏子猪排 新竹sogo站前店,24.8030583,120.97201889999997,0,1,0,0,0,0
59,鉄喫茶燒餃子,24.795179,120.96070639999994,0,1,0,1,0,0
60,燒丼株式會社 - 新竹巨城店,24.8103355,120.97504060000006,0,1,0,0,0,0
61,禧樂,24.7962466,121.00680929999999,0,1,0,0,0,1
62,大海拉麵 金山店,24.7771017,121.02136280000002,0,1,0,0,0,0
63,珍品天丼屋,24.78653,121.01087400000006,0,1,0,0,0,0
64,仲良日式料理,24.805501,120.96818400000006,0,1,0,0,0,0
65,松竹梅壽司總匯,24.8076048,120.96737710000002,0,1,0,0,0,0
66,富山和風屋,24.8070201,120.96357480000006,0,1,0,0,0,0
67,浪人炭燒,24.8051548,120.96546710000007,0,1,0,0,0,0
68,博多一幸舍拉麵,24.7851797,121.02001189999999,0,1,0,0,0,0
69,大村武串燒居酒屋-新竹店,24.8054695,120.97031820000007,0,1,0,0,0,0
70,花月嵐拉麵 (新竹巨城店),24.8094861,120.97472100000005,0,1,0,0,0,0
71,築咖啡,24.8019227,120.97774789999994,0,0,1,1,1,0
72,PAUL新竹巨城店,24.809504,120.97475600000007,0,0,0,0,1,0
73,白色小舖,24.808828,120.97524699999997,0,0,1,0,1,0
74,路易莎咖啡 (竹北光明店),24.830525,121.01591439999993,0,0,0,0,1,0
75,八方燴西餐廳 - 新竹國賓大飯店,24.8064019,120.97826600000008,1,0,0,0,1,0
76,Fresh Corner紛鳥麵包輕食坊,24.820471,121.02748599999995,0,0,0,0,1,0
77,貳樓餐廳 - 新竹店,24.7877074,121.01748210000005,0,0,0,0,1,0
78,綠芳園咖啡庭園餐廳,24.7869574,120.94979260000002,0,0,0,0,1,0
79,HOVII Cafe,24.809805,120.96625870000003,0,0,1,0,1,0
80,JR咖啡食尚館,24.7744489,120.96731999999997,0,0,0,0,1,0
81,在樹上早午餐專賣店,24.8041316,120.96978039999999,0,0,0,0,1,0
82,茉莉絲義思廚房,24.809562,120.97333500000002,0,0,1,0,1,0
83,有樹早餐,24.8089529,120.96995100000004,0,0,0,0,1,0
84,Jack Pan Cafe,24.8312794,121.01134690000004,0,0,0,0,1,0
85,Bigreeny Cuisine Home,24.776862,121.02005699999995,0,0,0,0,1,0
86,演藝露,24.8119576,120.96733919999997,0,0,1,0,1,0
87,花神 自家烘焙咖啡,24.804121,120.96969100000001,0,0,0,0,1,0
88,Day Day Go,24.8083485,120.97573920000002,0,0,0,0,1,0
89,KES自在食,24.81753,121.01572629999998,0,0,0,0,1,0
90,六角咖啡,24.8123881,121.02043989999993,0,0,0,0,1,0
91,異人館 - 竹北店,24.8160457,121.01961699999993,0,0,0,1,1,0
92,畫盒子藝術餐廳,24.8292184,121.02632300000005,0,0,1,0,1,0
93,Coffee Owner,24.814651,121.02866319999998,0,0,0,0,1,0
94,貓角落,24.8100318,121.02470500000004,0,0,0,0,1,0
95,蕾蕾咖啡館,24.807151,120.96653500000002,0,0,0,0,1,0
96,18巷咖啡館,24.8137731,120.97306679999997,0,0,0,0,1,0
